author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302690882/;Московская область;sale;flat;5;10;-1;28.0;11500000;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Московская область;sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Московская область;sale;flat;3;5;3;82.9;42900000;Тверской;1-й Самотечный переулок;17А;Достоевская;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308804860/;Московская область;sale;flat;22;65;-1;39.9;45000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Est-a-Tet Агент;real_estate_agent;https://www.cian.ru/sale/flat/308163135/;Московская область;sale;flat;13;28;4;106.9;51350000;Раменки;Винницкая ;8к1;Раменки;Настоящее
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307213330/;Московская область;sale;flat;10;26;3;74.5;72000000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308695817/;Московская область;sale;flat;23;24;4;123.0;95000000;Фили-Давыдково;Кастанаевская ;66;Кунцевская;Shome
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/296835523/;Московская область;sale;flat;3;13;4;110.4;97500000;Тверской; Фадеева;4А;Новослободская;Итальянский Квартал
Kalinka Group;real_estate_agent;https://odintsovo.cian.ru/sale/flat/291589677/;Московская область;sale;flat;3;6;2;236.0;130000000;;;;;Жуковка Шале
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062350/;Московская область;sale;flat;26;41;4;138.2;138000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306881657/;Московская область;sale;flat;23;24;5;415.0;150000000;Щукино; Маршала Бирюзова;32К1;Октябрьское поле;Две башни
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308464189/;Московская область;sale;flat;3;10;4;162.0;157000000;Басманный;Казарменный переулок;3;Курская;Дом на Покровском бульваре
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308302334/;Московская область;sale;flat;4;4;-1;379.2;430000000;Басманный;Мясницкая ;22С1;Лубянка;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303811054/;Московская область;sale;flat;7;8;5;340.0;490000000;Арбат;Большой Афанасьевский переулок;28;Арбатская;Большой Афанасьевский пер, вл.24
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/300250559/;Московская область;sale;flat;3;5;4;300.0;495000000;Хамовники;Нащокинский переулок;7;Кропоткинская;Академия
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/305905470/;Московская область;sale;flat;9;11;5;320.0;528508199;Хамовники; Усачева;2С3;Фрунзенская;Фьюжн парк
ЧФК;developer;https://krasnodar.cian.ru/sale/flat/294765804/;Московская область;sale;flat;13;20;1;50.9;6362500;Имени Демьяна Бедного жилмассив; Степная;1/1;;Мозаика
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/307584440/;Московская область;sale;flat;1;5;-1;15.1;5100000;Москворечье-Сабурово;Каширское шоссе;56К2;Москворечье;
Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/307303087/;Московская область;sale;flat;2;8;1;21.2;6900000;Тимирязевский;Дмитровское шоссе;46К1;Петровско-Разумовская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Московская область;sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/301916019/;Московская область;sale;flat;3;5;1;40.6;23900000;Центральный; Крымская;;;Livingston
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306079971/;Московская область;sale;flat;15;20;2;79.4;29870000;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
