author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,street,house_number,underground
real_estate_agent,Москва,5.0,7.0,1.0,34.6,9000000.0,1978.0,18.0,8.0,15-я Парковая ,54.0,Щёлковская
real_estate_agent,Москва,14.0,45.0,1.0,41.3,12800000.0,2026.0,20.0,11.0,Перовское шоссе,12.0,Нижегородская
developer,Москва,10.0,12.0,1.0,34.4,19372498.0,2026.0,11.8,11.7,Электрозаводская ,60.0,Преображенская площадь
real_estate_agent,Москва,4.0,33.0,1.0,42.9,23600000.0,-1.0,22.9,15.0, Годовикова,12.0,Алексеевская
realtor,Москва,1.0,16.0,1.0,37.7,9450000.0,1982.0,28.3,10.0,Варшавское шоссе,12.0,Пражская
developer,Москва,2.0,24.0,1.0,32.6,16906360.0,2027.0,18.8,10.0, Гастелло,12.0,Сокольники
real_estate_agent,Москва,13.0,17.0,1.0,37.6,11000000.0,2018.0,17.6,15.0, Бачуринская,12.0,Бачуринская
real_estate_agent,Москва,9.0,28.0,1.0,34.7,14500000.0,2023.0,9.1,14.2,Открытое шоссе,12.0,Бульвар Рокоссовского
real_estate_agent,Москва,51.0,75.0,1.0,123.0,85000000.0,-1.0,69.0,15.0,1-й Красногвардейский проезд,15.0,Деловой центр
real_estate_agent,Москва,5.0,9.0,1.0,34.1,10990000.0,1970.0,17.1,8.1,Чертановская ,12.0,Пражская
developer,Москва,4.0,28.0,1.0,47.4,20443620.0,2027.0,17.9,10.0, Матросская Тишина,12.0,Сокольники
developer,Москва,2.0,16.0,1.0,37.5,20328519.0,2025.0,13.5,10.7, Зорге,12.0,Октябрьское поле
real_estate_agent,Москва,5.0,17.0,1.0,50.2,34900000.0,2024.0,16.1,16.8,Ленинский проспект,38.0,Ленинский проспект
real_estate_agent,Москва,4.0,17.0,1.0,40.0,9700000.0,1987.0,19.0,7.0,Солнцевский проспект,23.0,Говорово
real_estate_agent,Москва,40.0,63.0,1.0,51.0,57600000.0,-1.0,45.0,10.0,1-й Красногвардейский проезд,12.0,Москва-Сити
unknown,Москва,2.0,10.0,1.0,36.0,9870000.0,2021.0,28.3,12.0, Золотошвейная,6.0,Филатов Луг
developer,Москва,33.0,34.0,1.0,47.8,21433520.0,2028.0,11.5,10.0,Ленинградское шоссе,12.0,Беломорская
real_estate_agent,Москва,14.0,16.0,1.0,34.6,14400000.0,1978.0,19.5,10.0, Поликарпова,12.0,Беговая
developer,Москва,1.0,3.0,1.0,39.6,6930000.0,2023.0,28.3,10.0, Генерала Донскова,12.0,Апрелевка
realtor,Москва,14.0,14.0,1.0,40.0,7380000.0,2009.0,17.0,8.5, Брусилова,7.0,Щербинка
developer,Москва,1.0,3.0,1.0,45.9,7435800.0,2023.0,28.3,10.0, Генерала Донскова,12.0,Апрелевка
developer,Москва,8.0,9.0,1.0,57.6,117936000.0,2023.0,28.3,10.0,1-я Тверская-Ямская ,2.0,Маяковская
real_estate_agent,Москва,9.0,40.0,1.0,41.5,32000000.0,-1.0,23.4,4.9,Ленинградский проспект,12.0,ЦСКА
real_estate_agent,Москва,13.0,41.0,1.0,41.5,31000000.0,-1.0,23.4,4.9,Ленинградский проспект,12.0,Аэропорт
developer,Москва,2.0,27.0,1.0,45.7,21798900.0,2026.0,26.8,7.8, Фридриха Энгельса,12.0,Бауманская
real_estate_agent,Москва,3.0,20.0,1.0,59.0,61800000.0,2023.0,39.0,15.0, Костикова,12.0,Улица 1905 года
homeowner,Москва,10.0,10.0,1.0,38.5,11280000.0,1994.0,20.7,8.4,Жулебинский бульвар,12.0,Лермонтовский проспект
developer,Москва,5.0,21.0,1.0,65.9,82172522.0,2023.0,18.8,24.9, Костикова,12.0,Улица 1905 года
real_estate_agent,Москва,75.0,95.0,1.0,57.0,47000000.0,2017.0,37.0,10.0,набережная Пресненская,12.0,Деловой центр
realtor,Москва,21.0,30.0,1.0,36.5,13000000.0,2024.0,9.7,19.2,Волгоградский проспект,12.0,Угрешская
realtor,Москва,4.0,6.0,1.0,59.35,101785250.0,2024.0,48.9,10.0, Кузнецкий Мост,12.0,Кузнецкий мост
real_estate_agent,Москва,1.0,10.0,1.0,31.0,14500000.0,-1.0,20.0,6.0,Мичуринский проспект,12.0,Ломоносовский проспект
developer,Москва,2.0,16.0,1.0,45.0,23274675.0,2024.0,16.4,14.6,Береговой проезд,2.0,Фили
homeowner,Москва,10.0,22.0,1.0,38.2,12600000.0,2005.0,19.0,10.0,Производственная ,12.0,Солнцево
real_estate_agent,Москва,7.0,20.0,1.0,43.09,20252300.0,2024.0,10.6,18.7,Автозаводская ,26.0,Тульская
realtor,Москва,15.0,28.0,1.0,40.0,30500000.0,2022.0,16.0,18.0,Винницкая ,12.0,Раменки
real_estate_agent,Москва,2.0,44.0,1.0,48.1,25000000.0,2018.0,30.0,3.0,Ходынская ,2.0,Улица 1905 года
real_estate_agent,Москва,4.0,26.0,1.0,46.0,34000000.0,2021.0,28.3,10.0,Нежинская ,12.0,Давыдково
real_estate_agent,Москва,3.0,17.0,1.0,35.4,14990000.0,2022.0,24.0,9.0, Эдварда Грига,15.0,Потапово
real_estate_agent,Москва,13.0,41.0,1.0,43.0,23900000.0,-1.0,21.0,17.0,Шелепихинская набережная,12.0,Шелепиха
realtor,Москва,2.0,12.0,1.0,38.7,15000000.0,1985.0,20.7,8.3, Улофа Пальме,3.0,Минская
real_estate_agent,Москва,18.0,22.0,1.0,43.0,19200000.0,2022.0,22.0,12.0,Большой Волоколамский проезд,23.0,Стрешнево
