?????;??? ??????;??????;???????;????;????????? ????;?????????? ??????;????? ???????;????;???? ????? ???????;??? ????????? ????;??? ???????;????? ??????;?????? ?????;?????;?????;????? ????;?????
Whitewill;????? ?? ????????????;https://www.cian.ru/sale/flat/303818206/;??????;5;17;1;50,2;34 900 000,00 ?;2024;;;16,1 ?²;16,8 ?²;???????????;????????? ????????;38;????????? ????????
????? ????;???????;https://www.cian.ru/sale/flat/305756213/;??????;21;30;1;36,5;13 000 000,00 ?;2024;;;9,7 ?²;19,2 ?²;????????????;????????????? ????????;32/5?2;?????????
ID 112609323;???????;https://www.cian.ru/sale/flat/307205775/;??????;4;6;1;59,4;101 785 250,00 ?;2024;;??? ???????;48,9 ?²;;?????????; ????????? ????;12/3?1;????????? ????
?????????;??????????;https://www.cian.ru/sale/flat/296921064/;??????;2;16;1;45,0;23 274 675,00 ?;2024;?????????-?????????;??? ???????;16,4 ?²;14,6 ?²;????????? ????;????????? ??????;2;????
hoomie;????? ?? ????????????;https://www.cian.ru/sale/flat/305679592/;??????;7;20;1;43,1;20 252 300,00 ?;2024;;;10,6 ?²;18,7 ?²;???????????;????????????? ;26;????????
TOUCH;??????????;https://www.cian.ru/sale/flat/302838421/;??????;7;13;1;45,3;27 171 760,00 ?;2024;??????????;??? ???????, ????????;;;????????????;;?2;????????
Sminex;??????????;https://www.cian.ru/sale/flat/293713671/;??????;2;14;1;72,6;139 410 000,00 ?;2024;??????????;??? ???????;14,2 ?²;31 ?²;????????;;;???????
????-???????????;??????????;https://www.cian.ru/sale/flat/308081007/;??????;4;6;1;50,2;57 228 000,00 ?;2024;?????????-?????????;??? ???????;12,3 ?²;23,9 ?²;?????????????;??????????????? ??????????;4/22?9;?????????????
Sminex;??????????;https://www.cian.ru/sale/flat/308620473/;??????;23;26;1;35,7;21 910 000,00 ?;2024;??????????;??? ???????;11 ?²;15,8 ?²;???????; ????????? ????????;21;?????????
SUNRISE Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/308829538/;??????;33;41;1;46,0;21 000 000,00 ?;2024;;;18 ?²;23 ?²;????????-????????;????????????? ??????????;34?5;????????
Whitewill;????? ?? ????????????;https://www.cian.ru/sale/flat/307098964/;??????;7;48;1;55,5;33 000 000,00 ?;2024;;??? ???????;27 ?²;7,7 ?²;?????????; ?????????? ????;3?1;???????????? ???
One Moscow;????? ?? ????????????;https://www.cian.ru/sale/flat/303016403/;??????;12;28;1;45,2;20 500 000,00 ?;2024;;??? ???????;13,7 ?²;16 ?²;???????????;????????????? ;;???
Sense Development;??????????;https://www.cian.ru/sale/flat/298147602/;??????;7;13;1;58,8;37 642 247,00 ?;2024;??????????;????????????;45,1 ?²;8,7 ?²;???????????; ??????????? ???;1?;????????
MOD Estate;????? ?? ????????????;https://www.cian.ru/sale/flat/299499349/;??????;5;21;1;48,4;21 250 000,00 ?;2024;;;15,8 ?²;15,5 ?²;??????;????????? ;3;?????????
?????;????? ?? ????????????;https://www.cian.ru/sale/flat/280751407/;??????;4;7;1;33,6;5 600 000,00 ?;2024;;??? ???????;12,5 ?²;10,5 ?²;; ???????;;???????????
???????;??????????;https://www.cian.ru/sale/flat/308914987/;??????;11;16;1;42,2;8 110 408,00 ?;2024;?????????-?????????;??? ???????, ????????;13,9 ?²;13,1 ?²;;;?2;??????? ???
???????;??????????;https://www.cian.ru/sale/flat/308655501/;??????;16;16;1;38,2;8 254 881,00 ?;2024;?????????-?????????;??? ???????, ????????;10,4 ?²;11,3 ?²;;;?3;??????? ???
???????;??????????;https://www.cian.ru/sale/flat/308655358/;??????;2;16;1;38,6;8 275 112,00 ?;2024;?????????-?????????;??? ???????, ????????;10,5 ?²;11,3 ?²;;;4-5;??????? ???
???????;??????????;https://www.cian.ru/sale/flat/308966884/;??????;3;15;1;38,8;8 298 207,00 ?;2024;?????????-?????????;??? ???????, ????????;10,5 ?²;19,2 ?²;;;?11;????????
Upside Development;??????????;https://www.cian.ru/sale/flat/297367278/;??????;1;8;1;34,2;8 379 000,00 ?;2024;??????????;????????;10,7 ?²;15,7 ?²;????????; ??????????;27;?????????
???;??????????;https://www.cian.ru/sale/flat/306987423/;??????;17;17;1;36,0;8 522 618,00 ?;2024;??????????;????????;17,3 ?²;10,5 ?²;;;;????????
???;??????????;https://www.cian.ru/sale/flat/306987593/;??????;11;17;1;36,0;8 631 143,00 ?;2024;??????????;????????;10,6 ?²;18,1 ?²;;;1.2;????????
???????;??????????;https://www.cian.ru/sale/flat/308966838/;??????;3;10;1;41,3;8 645 092,00 ?;2024;?????????-?????????;??? ???????, ????????;10,6 ?²;20,9 ?²;;;?13;????????
?101;??????????;https://www.cian.ru/sale/flat/306747832/;??????;7;9;1;34,7;8 738 248,00 ?;2024;;??? ???????;12,3 ?²;12 ?²;;;?1.2;????????? ?????
???????;??????????;https://www.cian.ru/sale/flat/308650651/;??????;3;7;1;32,9;9 245 023,00 ?;2024;?????????-?????????;??? ???????, ????????;9,4 ?²;15,9 ?²;;;?1;???????????
???;??????????;https://www.cian.ru/sale/flat/306670736/;??????;14;14;1;41,0;9 258 414,00 ?;2024;?????????;????????;10,5 ?²;22,5 ?²;; ????????? ????;7?1;??????? ???
???????;??????????;https://www.cian.ru/sale/flat/308650649/;??????;3;6;1;31,9;9 440 052,00 ?;2024;?????????-?????????;??? ???????, ????????;9,4 ?²;14,4 ?²;;;?1;???????????
???????;??????????;https://www.cian.ru/sale/flat/308652212/;??????;14;15;1;46,9;9 726 270,00 ?;2024;?????????-?????????;??? ???????, ????????;14,4 ?²;19,9 ?²;;;?12;????????
??????? ????????????;??????????;https://www.cian.ru/sale/flat/307207384/;??????;14;20;1;30,6;9 662 241,00 ?;2024;?????????, ??????????;??? ???????, ????????;9,5 ?²;;;;?2;???????????????
???????;??????????;https://www.cian.ru/sale/flat/308652180/;??????;5;15;1;35,6;9 897 247,00 ?;2024;?????????-?????????;??? ???????, ????????;10,2 ?²;17,2 ?²;;;?10;????????
???????;??????????;https://www.cian.ru/sale/flat/308650666/;??????;5;5;1;35,8;9 899 895,00 ?;2024;?????????-?????????;??? ???????, ????????;10,8 ?²;9,8 ?²;;;?2;???????????
???????;??????????;https://www.cian.ru/sale/flat/308650663/;??????;7;7;1;38,9;10 080 668,00 ?;2024;?????????-?????????;??? ???????, ????????;10,5 ?²;19,3 ?²;;;?2;???????????
???????;??????????;https://www.cian.ru/sale/flat/308650664/;??????;2;7;1;48,4;10 058 220,00 ?;2024;?????????-?????????;??? ???????, ????????;19,5 ?²;19,6 ?²;;;?2;???????????
???????;??????????;https://www.cian.ru/sale/flat/308650621/;??????;2;5;1;43,9;10 141 321,00 ?;2024;?????????-?????????;??? ???????, ????????;14,4 ?²;18,5 ?²;;;3;???????????
????? ?????????;??????????;https://www.cian.ru/sale/flat/297843444/;??????;14;14;1;37,3;10 197 820,00 ?;2024;?????????-?????????, ??????????;????????;11,4 ?²;13,9 ?²;; 3-? ???????????????;;????????
??-???????????;??????????;https://www.cian.ru/sale/flat/308473235/;??????;7;27;1;34,9;17 020 451,00 ?;2024;?????????, ??????????;??? ???????, ????????;13,4 ?²;11,2 ?²;??????;;;?????????
???;??????????;https://www.cian.ru/sale/flat/293677259/;??????;45;47;1;34,3;20 360 480,00 ?;2024;?????????-?????????;??? ???????, ????????????, ????????;18,5 ?²;8,2 ?²;???????????;;;?????????
MR Group;??????????;https://www.cian.ru/sale/flat/308416242/;??????;8;44;1;40,8;21 801 250,00 ?;2024;?????????-?????????;????????????, ????????;;;??????? ????; 4-? ???????? ????;12?3;??????? ????
One Moscow;????? ?? ????????????;https://www.cian.ru/sale/flat/307393465/;??????;4;20;1;76,1;32 164 925,00 ?;2024;;;27,7 ?²;21,3 ?²;???????????;????????????? ;26;????????
Dream Realty;????? ?? ????????????;https://vidnoye.cian.ru/sale/flat/307996713/;??????;16;18;1;40,9;6 100 000,00 ?;2024;;;18 ?²;12 ?²;; ????????;3;?????????????
????????????????;??????????;https://kostroma.cian.ru/sale/flat/300098072/;????????;4;5;1;47,3;4 536 000,00 ?;2024;?????????;??? ???????;;;????????;?????? 1-? ???????????;18;
???????????? ???????-7;??????????;https://kostroma.cian.ru/sale/flat/302614120/;????????;6;9;1;39,7;3 930 300,00 ?;2024;;??? ???????;;;???. ????????????; ???????;8?;
