author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет;developer;https://www.cian.ru/sale/flat/308648597/;Москва;sale;flat;14;14;1;32.67;8007991;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,3 м²;10,6 м²;+74951374063;;;к19;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308914916/;Москва;sale;flat;16;16;1;39.56;8011882;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;14 м²;15,2 м²;+74997098514;;;13;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308914792/;Москва;sale;flat;2;22;1;40.28;8015781;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;12,8 м²;17,8 м²;+74997098514;;;14.2;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308914326/;Москва;sale;flat;1;13;1;40.31;8016853;2025;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;10,6 м²;21,1 м²;+74958016242;Молжаниновский;;к6;Новоподрезково;Молжаниново ЖК
ПИК;developer;https://www.cian.ru/sale/flat/308661217/;Москва;sale;flat;2;17;1;36.3;8015040;2026;-1;Монолитный;-1;Чистовая;11 м²;17 м²;+74951370485;; Мостотреста;;Щербинка;Юнино
Самолет;developer;https://www.cian.ru/sale/flat/308914414/;Москва;sale;flat;1;13;1;40.3;8048434;2025;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;10,6 м²;21,1 м²;+74958016242;Молжаниновский;;к5;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308650559/;Москва;sale;flat;11;14;1;42.89;8024175;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;12,8 м²;21,3 м²;+74997153345;;;10;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308657213/;Москва;sale;flat;1;9;1;40.79;8026645;2025;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11 м²;21,3 м²;+74951375212;;;к1;Силикатная;Подольские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/308655170/;Москва;sale;flat;6;16;1;40.3;8012043;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;14,9 м²;12,1 м²;+74999228924;;;к2;Филатов Луг;Цветочные Поляны
ПИК;developer;https://www.cian.ru/sale/flat/306483952/;Москва;sale;flat;2;11;1;33.8;8015669;2027;-1;Панельный;-1;Чистовая;10,5 м²;15,2 м²;+74996487215;Крюково;Зеленоград;22-й мкр;Зеленоград — Крюково;Зелёный парк
ID 1580;realtor;https://www.cian.ru/sale/flat/308985479/;Москва;sale;flat;6;9;1;32.8;8100000;1974;-1;-1;-1;-1;19 м²;6,7 м²;+79805846002;Бибирево; Коненкова;15В;Бибирево;
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308442652/;Москва;sale;flat;2;12;1;37.0;8100000;-1;-1;-1;-1;-1;23 м²;10 м²;+79060414026;; Харлампиева;50к3;Филатов Луг;
